user_id,section_id,avg_perc,top3_avg_perc,best_perc,nprocs
53,2702738,2,50.53,61.0,71.67,6
54,2702738,3,30.49,39.16,47.71,6
55,2847077,0,25.97,25.97,34.57,2
56,2847077,1,52.6,52.6,69.75,2
57,2847077,2,20.11,20.11,22.13,2
58,2847077,3,22.69,22.69,29.96,2
59,2553968,0,56.6,72.19,74.12,13
60,2553968,1,58.96,83.37,91.08,13
61,2553968,2,62.09,85.71,91.99,13
62,2553968,3,50.51,64.24,70.56,13
63,2851656,0,38.11,42.62,56.13,4
64,2851656,1,19.15,20.78,23.84,4
65,2851656,2,58.26,63.54,78.4,4
66,2851656,3,53.53,60.51,76.48,4
67,2811461,0,10.72,10.72,16.66,2
68,2811461,1,15.2,15.2,22.21,2
69,2811461,2,15.85,15.85,18.08,2
70,2811461,3,19.96,19.96,27.47,2
71,2899442,0,20.44,32.53,46.73,7
72,2899442,1,22.59,33.45,41.56,7
73,2899442,2,22.72,40.82,49.8,7
74,2899442,3,31.17,44.59,60.44,7
75,1358117,0,85.55,94.12,94.59,18
76,1358117,1,69.09,89.71,91.02,18
77,1358117,2,83.11,97.2,97.84,18
78,1358117,3,86.64,95.24,96.3,18
79,2900966,0,27.06,27.06,39.95,3
80,2900966,1,39.99,39.99,64.56,3
81,2900966,2,41.24,41.24,83.46,3
82,2900966,3,22.95,22.95,27.68,3
83,2915639,0,42.03,51.94,59.24,10
84,2915639,1,42.42,61.15,76.08,10
85,2915639,2,40.78,62.86,66.13,10
86,2915639,3,51.51,66.58,70.04,10
87,2650557,0,52.91,66.76,67.52,15
88,2650557,1,39.71,64.6,74.43,15
89,2650557,2,58.55,86.66,93.08,15
90,2650557,3,61.52,78.34,79.83,15
91,2742997,0,28.04,57.89,66.14,12
92,2742997,1,15.17,36.89,52.34,12
93,2742997,2,33.76,66.45,77.96,12
94,2742997,3,52.09,80.92,90.49,12
95,2741481,0,60.72,79.8,82.06,13
96,2741481,1,48.35,66.77,67.92,13
97,2741481,2,52.52,86.74,91.97,13
98,2741481,3,72.74,84.47,88.72,13
99,2492943,0,82.84,93.18,96.08,7
100,2492943,1,74.81,86.77,88.47,7
101,2492943,2,81.41,94.1,98.04,7
102,2492943,3,78.62,92.73,97.71,7
103,2886284,0,83.32,90.19,93.02,4
104,2886284,1,75.85,79.18,85.44,4
105,2886284,2,85.35,93.14,96.06,4
106,2886284,3,76.46,83.77,93.63,4
107,2383495,0,13.55,13.55,15.92,2
108,2383495,1,6.04,6.04,6.45,2
109,2383495,2,65.33,65.33,85.49,2
110,2383495,3,24.54,24.54,32.41,2
111,2908929,0,17.88,17.88,19.98,2
112,2908929,1,27.73,27.73,35.41,2
113,2908929,2,21.58,21.58,23.92,2
114,2908929,3,25.81,25.81,35.93,2
115,2928878,0,49.27,49.27,60.0,3
116,2928878,1,66.73,66.73,82.1,3
117,2928878,2,25.81,25.81,43.95,3
118,2928878,3,53.67,53.67,72.52,3
119,2665772,0,65.7,77.48,82.55,18
120,2665772,1,77.43,93.13,95.9,18
121,2665772,2,58.01,88.68,89.77,18
122,2665772,3,55.83,68.98,70.22,18
123,2938697,0,66.22,75.15,86.58,5
124,2938697,1,78.22,85.4,93.0,5
125,2938697,2,64.35,81.58,85.25,5
126,2938697,3,54.05,60.38,66.98,5
127,2919694,0,69.13,81.71,84.39,9
128,2919694,1,78.85,90.89,92.27,9
129,2919694,2,64.82,82.13,85.48,9
130,2919694,3,57.25,70.07,70.73,9
131,3270290,3,29.74,40.03,44.49,7
132,3361621,0,31.22,33.81,41.86,4
133,3361621,1,37.6,38.9,43.65,4
134,3361621,2,56.79,61.63,72.54,4
135,3361621,3,25.02,28.47,40.26,4
136,3150029,0,50.28,63.62,66.59,15
137,3150029,1,66.19,89.94,90.21,15
138,3150029,2,49.45,74.53,78.35,15
139,3150029,3,41.55,55.52,62.59,15
140,3282470,0,41.39,57.78,67.77,12
141,3282470,1,68.4,93.36,97.16,12
142,3282470,2,51.21,72.32,74.93,12
143,3282470,3,22.82,37.54,50.19,12
144,3022774,0,28.63,28.63,33.45,2
145,3022774,1,9.28,9.28,17.83,2
146,3022774,2,56.61,56.61,87.79,2
147,3022774,3,47.84,47.84,52.08,2
148,3247836,0,31.68,37.41,39.63,5
149,3247836,1,22.3,30.98,35.76,5
150,3247836,2,40.28,46.35,48.43,5
151,3247836,3,45.45,50.41,54.61,5
152,3320905,0,41.87,53.89,58.0,9
153,3320905,1,59.48,76.09,79.1,9
154,3320905,2,46.24,80.31,89.85,9
155,3320905,3,30.94,42.44,54.34,9
156,3320933,0,14.13,17.43,28.01,4
157,3320933,1,25.58,31.87,56.91,4
158,3320933,2,24.08,28.28,33.34,4
159,3320933,3,12.96,13.62,14.94,4
160,2928147,0,8.46,11.88,18.53,6
161,2928147,1,13.88,17.63,22.59,6
162,2928147,2,13.14,17.2,22.79,6
163,2928147,3,18.17,25.18,35.78,6
164,3359120,0,12.41,20.74,31.83,7
165,3359120,1,19.21,33.52,72.21,7
166,3359120,2,32.8,55.39,74.93,7
167,3359120,3,13.4,15.9,21.72,7
168,3360212,0,59.45,83.18,85.73,17
169,3360212,1,34.92,58.01,66.62,17
170,3360212,2,45.92,81.99,88.26,17
171,3360212,3,74.85,97.68,98.19,17
172,3370710,0,30.49,50.49,58.44,14
173,3370710,1,36.66,55.7,64.44,14
174,3370710,2,31.2,56.6,82.68,14
175,3370710,3,36.64,60.33,63.51,14
176,3370713,0,19.88,19.88,20.39,2
177,3370713,1,16.9,16.9,20.57,2
178,3370713,2,19.36,19.36,20.12,2
179,3370713,3,37.11,37.11,43.24,2
180,3219252,0,49.79,66.02,80.12,8
181,3219252,1,51.83,68.26,73.05,8
182,3219252,2,44.42,73.54,96.52,8
183,3219252,3,53.05,66.31,78.63,8
184,3357436,0,33.48,33.48,47.93,3
185,3357436,1,33.96,33.96,59.43,3
186,3357436,2,37.74,37.74,54.61,3
187,3357436,3,43.37,43.37,51.77,3
188,2994342,0,40.16,49.07,55.77,5
189,2994342,1,76.45,88.64,96.15,5
190,2994342,2,47.05,70.29,79.19,5
191,2994342,3,17.08,24.7,29.58,5
192,3394591,1,57.08,79.13,81.25,11
193,3394591,2,49.1,71.99,76.43,11
194,3383504,0,68.24,81.08,85.41,16
195,3383504,1,54.22,87.41,90.21,16
196,3383504,2,59.75,81.47,85.45,16
197,3383504,3,77.6,90.1,92.84,16
198,3270290,0,16.02,20.15,21.72,7
199,3270290,1,9.86,14.34,22.06,7
200,3270290,2,34.02,47.64,66.75,7
201,3300592,0,12.08,13.14,16.44,4
202,3300592,1,22.02,24.39,34.01,4
203,3300592,2,19.4,21.2,25.43,4
204,3300592,3,16.37,17.83,20.95,4
205,3358271,0,36.85,43.27,54.66,4
206,3358271,1,64.25,70.89,92.23,4
207,3358271,2,50.41,67.15,71.5,4
208,3358271,3,20.23,20.84,21.88,4
209,3347132,0,50.36,52.61,55.04,5
210,3347132,1,32.83,41.26,54.95,5
211,3347132,2,69.06,84.55,90.11,5
212,3347132,3,55.9,60.47,61.9,5
213,2995154,0,30.34,56.0,64.63,17
214,2995154,1,18.95,51.87,62.27,17
215,2995154,2,41.13,68.89,73.07,17
216,2995154,3,47.45,64.61,67.35,17
217,3278832,0,6.44,6.44,12.52,2
218,3278832,1,33.15,33.15,65.84,2
219,3278832,2,13.87,13.87,18.08,2
220,3278832,3,13.3,13.3,15.22,2
221,3291190,0,14.5,20.04,22.39,5
222,3291190,1,13.68,17.89,21.06,5
223,3291190,2,34.3,44.31,48.91,5
224,3291190,3,22.77,29.6,39.96,5
225,3321519,0,24.57,24.57,34.41,3
226,3321519,1,37.95,37.95,55.66,3
227,3321519,2,24.04,24.04,32.94,3
228,3321519,3,28.24,28.24,39.4,3
229,3394591,0,43.63,62.62,68.92,11
230,2880911,0,64.12,79.67,80.74,15
231,2880911,1,62.93,87.79,96.27,15
232,2880911,2,55.75,80.24,89.54,15
233,2880911,3,65.3,81.26,82.89,15
234,2776198,0,77.83,89.21,90.4,18
235,2776198,1,58.71,87.46,92.83,18
236,2776198,2,75.02,94.08,94.72,18
237,2776198,3,82.2,91.47,92.62,18
238,3395455,0,24.66,40.87,46.78,9
239,3395455,1,27.32,43.29,49.45,9
240,3395455,2,47.13,73.67,93.53,9
241,3395455,3,24.14,40.22,45.52,9
242,3436050,0,15.48,18.95,24.95,5
243,3436050,1,14.47,20.25,27.28,5
244,3436050,2,26.78,37.78,47.83,5
245,3436050,3,27.83,30.86,39.96,5
246,3467497,0,24.33,29.94,35.33,4
247,3467497,1,20.34,25.04,31.65,4
248,3467497,2,38.97,41.2,57.88,4
249,3467497,3,31.31,37.97,47.04,4
250,3467613,0,65.62,75.55,78.2,6
251,3467613,1,69.09,78.09,84.95,6
252,3467613,2,54.49,83.38,92.93,6
253,3467613,3,63.72,80.69,92.63,6
254,3322866,0,44.75,49.96,57.43,4
255,3322866,1,56.95,58.07,61.91,4
256,3322866,2,26.0,31.14,59.16,4
257,3322866,3,56.13,61.88,70.22,4
258,3396868,0,26.29,41.76,49.76,8
259,3396868,1,25.92,46.24,82.5,8
260,3396868,2,35.2,58.88,71.15,8
261,3396868,3,36.75,50.47,56.69,8
262,3217904,0,41.71,66.6,67.96,16
263,3217904,1,35.88,62.12,71.86,16
264,3217904,2,55.71,90.05,93.03,16
265,3217904,3,42.48,68.36,73.94,16
266,3452586,0,30.14,49.12,54.04,12
267,3452586,1,44.74,65.79,76.08,12
268,3452586,2,40.59,71.76,83.54,12
269,3452586,3,26.68,45.8,51.37,12
270,3302871,0,20.43,31.19,34.62,7
271,3302871,1,37.4,62.23,76.29,7
272,3302871,2,21.91,30.46,38.62,7
273,3302871,3,21.52,28.84,36.57,7
274,3307419,0,38.55,48.81,50.82,6
275,3307419,1,62.93,80.67,81.01,6
276,3307419,2,37.87,44.14,47.28,6
277,3307419,3,26.2,32.26,33.12,6
278,3370307,0,12.83,12.83,15.18,2
279,3370307,1,43.79,43.79,59.43,2
280,3370307,2,15.57,15.57,17.57,2
281,3370307,3,9.64,9.64,11.09,2
282,3498625,0,16.09,26.47,29.55,8
283,3498625,1,29.86,48.98,56.35,8
284,3498625,2,37.24,57.19,76.1,8
285,3498625,3,11.61,14.85,15.4,8
286,3477286,0,62.96,86.24,89.55,18
287,3477286,1,57.9,83.39,87.98,18
288,3477286,2,61.35,78.83,80.52,18
289,3477286,3,64.91,89.35,90.51,18
290,3361844,0,91.9,97.65,98.59,16
291,3361844,1,92.88,99.31,99.59,16
292,3361844,2,76.1,97.12,99.41,16
293,3361844,3,83.87,95.44,96.18,16
294,3445560,0,33.78,53.84,57.07,13
295,3445560,1,42.8,71.42,74.54,13
296,3445560,2,27.61,49.97,68.92,13
297,3445560,3,39.62,60.44,63.85,13
298,3445564,0,73.41,85.93,87.57,14
299,3445564,1,88.91,98.07,99.33,14
300,3445564,2,64.88,82.48,83.54,14
301,3445564,3,54.75,73.8,82.16,14
302,3445791,0,50.26,50.26,62.1,3
303,3445791,1,42.24,42.24,72.63,3
304,3445791,2,71.62,71.62,84.93,3
305,3445791,3,48.84,48.84,66.84,3
306,3293610,0,68.89,90.43,98.09,8
307,3293610,1,81.32,95.1,97.19,8
308,3293610,2,59.67,81.65,99.13,8
309,3293610,3,60.21,79.84,82.0,8
310,3241005,0,16.71,16.71,23.62,2
311,3241005,1,17.94,17.94,29.43,2
312,3241005,2,64.06,64.06,87.16,2
313,3241005,3,16.73,16.73,22.39,2
314,2820360,0,45.54,64.49,76.18,18
315,2820360,1,27.19,56.04,72.2,18
316,2820360,2,48.57,77.02,83.77,18
317,2820360,3,66.5,85.88,87.9,18
318,3491481,0,68.77,97.03,99.66,15
319,3491481,1,48.44,90.47,98.66,15
320,3491481,2,71.53,98.97,99.89,15
321,3491481,3,78.16,96.95,99.53,15
322,3208085,0,11.83,11.83,14.71,2
323,3208085,1,41.55,41.55,56.07,2
324,3208085,2,14.35,14.35,17.45,2
325,3208085,3,9.14,9.14,9.29,2
326,3489434,0,64.01,80.44,83.65,11
327,3489434,1,74.32,88.33,89.51,11
328,3489434,2,58.61,83.17,88.81,11
329,3489434,3,55.95,74.35,78.84,11
330,2689966,0,80.82,95.29,96.94,18
331,2689966,1,76.07,93.55,97.56,18
332,2689966,2,70.03,91.29,94.01,18
333,2689966,3,79.98,96.34,97.17,18
334,3494778,0,44.27,59.7,60.99,11
335,3494778,1,42.27,64.81,73.96,11
336,3494778,2,60.47,81.53,86.83,11
337,3494778,3,41.49,60.68,70.22,11
338,3304853,0,24.52,35.18,46.09,8
339,3304853,1,26.13,37.05,39.32,8
340,3304853,2,59.56,80.06,93.05,8
341,3304853,3,18.91,31.79,54.49,8
342,3340541,0,23.19,32.96,34.57,10
343,3340541,1,27.64,49.26,50.71,10
344,3340541,2,42.86,65.67,75.45,10
345,2898176,3,49.85,84.86,90.93,18
346,3142957,0,5.51,9.46,12.24,10
347,3142957,1,12.69,21.17,28.09,10
348,3142957,2,10.08,19.05,24.92,10
349,3142957,3,11.23,14.1,15.22,10
350,2862055,0,7.13,7.13,8.79,2
351,2862055,1,10.15,10.15,14.85,2
352,2862055,2,8.01,8.01,15.48,2
353,2862055,3,18.14,18.14,19.41,2
354,3361530,0,12.62,16.55,17.77,5
355,3361530,1,11.04,14.49,21.1,5
356,3361530,2,47.97,58.68,66.01,5
357,3361530,3,12.41,16.73,19.64,5
358,3286192,0,41.8,41.8,52.52,2
359,3286192,1,58.67,58.67,61.78,2
360,3286192,2,45.9,45.9,74.22,2
361,3286192,3,34.23,34.23,38.43,2
362,3501178,0,56.59,75.88,78.39,12
363,3501178,1,57.07,77.37,79.48,12
364,3501178,2,44.81,69.21,85.51,12
365,3501178,3,64.15,79.0,81.42,12
366,3145569,0,54.09,55.86,61.07,4
367,3145569,1,47.29,53.96,63.48,4
368,3145569,2,48.62,58.24,78.35,4
369,3145569,3,63.16,64.97,74.12,4
370,3144506,0,53.27,53.27,69.11,3
371,3144506,1,56.68,56.68,85.45,3
372,3144506,2,47.48,47.48,66.13,3
373,3144506,3,55.36,55.36,77.27,3
374,3320593,0,6.53,9.14,10.01,7
375,3320593,1,10.64,14.78,18.17,7
376,3320593,2,15.08,19.87,24.59,7
377,3320593,3,13.65,17.41,23.91,7
378,3121450,0,27.55,40.08,46.39,8
379,3121450,1,34.07,49.18,56.15,8
380,3121450,2,37.94,64.45,72.8,8
381,3121450,3,31.24,40.86,43.98,8
382,3072929,0,16.97,19.82,26.18,4
383,3072929,1,32.06,36.06,49.75,4
384,3072929,2,22.45,27.35,42.26,4
385,3072929,3,17.01,18.59,21.72,4
386,3072937,0,75.77,81.25,85.46,5
387,3072937,1,47.03,57.97,65.84,5
388,3072937,2,82.89,89.53,96.75,5
389,3072937,3,82.29,85.16,90.36,5
390,3045494,0,62.36,80.88,84.98,16
391,3045494,1,72.34,94.61,97.09,16
392,3045494,2,61.21,84.3,95.12,16
393,3045494,3,50.64,72.07,82.65,16
394,3438534,0,26.11,41.23,48.31,14
395,3438534,1,34.62,65.57,78.7,14
396,3438534,2,34.37,57.52,66.75,14
397,3438534,3,26.0,42.73,45.88,14
398,3438552,0,7.5,7.5,8.98,2
399,3438552,1,16.11,16.11,20.82,2
400,3438552,2,25.66,25.66,33.23,2
401,3438552,3,1.36,1.36,2.67,2
402,3487688,0,35.59,49.39,56.37,7
403,3487688,1,43.76,63.73,73.7,7
404,3487688,2,48.5,74.47,81.13,7
405,3487688,3,33.55,47.75,62.59,7
406,2247113,0,81.03,92.56,94.84,16
407,2247113,1,63.54,84.93,90.89,16
408,2247113,2,83.74,98.1,98.41,16
409,2247113,3,79.92,92.27,92.84,16
410,3461170,0,79.81,84.52,93.11,5
411,3461170,1,53.54,64.05,82.99,5
412,3461170,2,47.45,63.2,81.07,5
413,3461170,3,96.29,97.95,99.55,5
414,2883119,0,16.24,16.24,21.68,3
415,2883119,1,24.64,24.64,34.95,3
416,2883119,2,26.3,26.3,36.64,3
417,2883119,3,21.62,21.62,34.55,3
418,2883134,0,11.32,11.32,15.53,3
419,2883134,1,32.92,32.92,41.19,3
420,2883134,2,12.47,12.47,15.2,3
421,2883134,3,8.5,8.5,13.14,3
422,2832171,0,89.04,96.66,97.05,18
423,2832171,1,77.83,98.05,99.03,18
424,2832171,2,80.21,94.87,95.3,18
425,2832171,3,87.77,97.47,98.17,18
426,3213817,0,57.26,73.21,76.69,9
427,3213817,1,36.48,53.93,57.57,9
428,3213817,2,60.61,77.33,82.64,9
429,3213817,3,70.25,84.81,87.45,9
430,3215075,0,36.58,53.84,56.89,16
431,3215075,1,40.78,67.17,72.63,16
432,3215075,2,37.65,76.97,85.48,16
433,3215075,3,42.61,63.55,77.81,16
434,3553372,0,66.59,66.59,77.51,2
435,3553372,1,60.64,60.64,90.58,2
436,3553372,2,77.46,77.46,80.61,2
437,3553372,3,60.67,60.67,63.69,2
438,3094751,0,41.4,55.77,57.07,13
439,3094751,1,56.88,75.43,82.38,13
440,3094751,2,50.31,84.26,91.23,13
441,3094751,3,31.81,40.95,42.25,13
442,3037745,0,19.44,30.09,37.4,9
443,3037745,1,23.7,36.24,41.17,9
444,3037745,2,26.7,47.52,64.3,9
445,3037745,3,27.01,43.81,58.65,9
446,3493554,0,94.9,99.26,99.52,11
447,3493554,1,86.59,95.9,96.38,11
448,3493554,2,88.63,97.74,98.98,11
449,3493554,3,93.62,99.56,99.82,11
450,3269131,0,25.42,25.42,37.69,2
451,3269131,1,38.97,38.97,53.16,2
452,3269131,2,46.19,46.19,83.46,2
453,3269131,3,21.9,21.9,31.25,2
454,2968717,0,54.1,74.32,75.72,17
455,2968717,1,50.44,80.38,87.33,17
456,2968717,2,54.93,79.31,81.84,17
457,2968717,3,57.03,86.9,89.95,17
458,3431410,0,30.6,30.6,47.99,2
459,3431410,1,36.59,36.59,45.9,2
460,3431410,2,35.73,35.73,41.67,2
461,3431410,3,35.88,35.88,60.37,2
462,3553626,0,73.87,73.87,88.74,2
463,3553626,1,84.75,84.75,85.84,2
464,3553626,2,67.77,67.77,86.63,2
465,3553626,3,61.63,61.63,81.32,2
466,2702877,0,46.51,62.0,71.74,6
467,2702877,1,24.42,35.36,37.8,6
468,2702877,2,52.81,75.47,83.12,6
469,2702877,3,64.95,82.42,88.49,6
470,2700885,0,48.65,67.84,78.86,9
471,2700885,1,42.48,64.72,67.12,9
472,2700885,2,29.92,46.65,69.54,9
473,2700885,3,64.33,88.57,94.18,9
474,2934814,0,9.13,9.13,12.52,2
475,2934814,1,0.38,0.38,0.68,2
476,2934814,2,52.23,52.23,55.54,2
477,2934814,3,19.85,19.85,28.39,2
478,2895163,0,40.64,53.48,58.41,14
479,2895163,1,77.57,92.64,95.23,14
480,2895163,2,36.57,72.11,75.45,14
481,2895163,3,22.63,34.07,44.06,14
482,2667688,0,85.82,96.48,98.72,5
483,2667688,1,72.26,86.83,95.88,5
484,2667688,2,76.86,95.83,99.02,5
485,2667688,3,90.01,92.85,98.09,5
486,2862138,0,83.31,92.62,94.31,13
487,2862138,1,65.12,81.72,85.84,13
488,2862138,2,75.12,89.84,93.42,13
489,2862138,3,88.49,95.91,96.7,13
490,2750425,0,19.14,21.66,30.84,4
491,2750425,1,19.66,23.09,27.28,4
492,2750425,2,47.08,52.12,85.49,4
493,2750425,3,18.21,23.39,41.94,4
494,2820864,0,20.72,50.1,76.18,9
495,2820864,1,30.98,63.64,77.03,9
496,2820864,2,26.92,46.57,71.77,9
497,2820864,3,23.1,53.06,73.96,9
498,2442034,0,13.78,23.34,44.96,6
499,2442034,1,28.47,49.87,84.36,6
500,2442034,2,23.12,33.09,58.39,6
501,2442034,3,13.05,15.67,18.35,6
502,2915154,0,35.92,56.77,61.6,16
503,2915154,1,44.49,73.65,92.34,16
504,2915154,2,49.15,80.48,85.48,16
505,2915154,3,30.71,45.78,51.77,16
506,2889969,0,27.53,35.1,59.0,5
507,2889969,1,17.58,23.49,25.29,5
508,2889969,2,47.23,60.35,67.84,5
509,2889969,3,36.65,45.59,75.34,5
510,2910646,0,56.62,64.59,67.19,7
511,2910646,1,59.61,77.02,87.56,7
512,2910646,2,40.65,46.94,52.8,7
513,2910646,3,64.61,72.96,77.54,7
514,2637804,0,77.79,90.07,93.19,12
515,2637804,1,77.29,90.67,94.65,12
516,2637804,2,85.1,96.13,97.46,12
517,2637804,3,62.2,78.74,84.15,12
518,2816301,0,38.01,54.89,63.62,9
519,2816301,1,39.45,68.02,75.66,9
520,2816301,2,45.61,76.12,87.16,9
521,2816301,3,41.7,54.04,55.25,9
522,2924786,0,66.14,66.14,73.38,2
523,2924786,1,43.49,43.49,51.52,2
524,2924786,2,62.05,62.05,70.84,2
525,2924786,3,83.54,83.54,92.19,2
526,2912151,0,12.11,19.18,25.36,7
527,2912151,1,11.66,17.73,27.15,7
528,2912151,2,20.39,33.01,38.8,7
529,2912151,3,22.48,38.19,60.44,7
530,2946031,0,24.32,28.19,29.38,5
531,2946031,1,55.49,70.85,78.34,5
532,2946031,2,15.14,20.95,31.25,5
533,2946031,3,23.18,26.03,29.4,5
534,2818701,0,12.07,13.83,15.77,4
535,2818701,1,4.94,6.41,9.83,4
536,2818701,2,29.61,32.31,47.03,4
537,2818701,3,28.8,31.42,41.27,4
538,2729477,0,73.36,91.09,92.66,14
539,2729477,1,42.94,79.25,87.03,14
540,2729477,2,74.56,89.73,90.41,14
541,2729477,3,85.68,94.38,95.59,14
542,2867981,0,68.8,85.72,89.92,6
543,2867981,1,78.72,91.03,97.54,6
544,2867981,2,58.59,79.28,86.63,6
545,2867981,3,60.8,78.28,84.2,6
546,2545362,0,55.16,66.99,75.43,7
547,2545362,1,51.02,59.45,64.2,7
548,2545362,2,67.89,89.78,94.46,7
549,2545362,3,50.76,61.0,67.44,7
550,2886088,0,20.41,20.41,20.63,2
551,2886088,1,27.55,27.55,35.41,2
552,2886088,2,40.93,40.93,48.91,2
553,2886088,3,21.5,21.5,31.62,2
554,2920496,0,85.8,99.25,99.62,18
555,2920496,1,76.53,93.61,94.03,18
556,2920496,2,78.33,99.15,99.47,18
557,2920496,3,85.51,99.55,99.62,18
558,2896803,0,73.57,86.15,87.96,10
559,2896803,1,54.6,80.88,84.3,10
560,2896803,2,74.67,89.54,92.0,10
561,2896803,3,76.66,91.92,93.6,10
562,2737952,0,93.55,98.59,99.55,10
563,2737952,1,89.11,99.35,99.51,10
564,2737952,2,69.14,90.89,93.99,10
565,2737952,3,93.54,99.48,99.69,10
566,2779360,0,72.55,91.59,93.66,12
567,2779360,1,74.17,91.03,99.39,12
568,2779360,2,61.69,84.67,87.91,12
569,2779360,3,70.55,87.65,90.36,12
570,2352396,0,35.4,44.09,61.73,6
571,2352396,1,66.01,84.99,88.61,6
572,2352396,2,39.2,53.79,83.27,6
573,2352396,3,20.06,22.6,23.91,6
574,2786781,0,71.01,87.41,90.2,9
575,2786781,1,69.42,88.43,92.23,9
576,2786781,2,64.44,95.3,98.69,9
577,2786781,3,67.94,84.41,93.3,9
578,2845859,0,29.76,35.92,37.88,7
579,2845859,1,38.93,48.53,50.44,7
580,2845859,2,60.17,75.15,78.35,7
581,2845859,3,19.17,25.47,27.97,7
582,2891521,0,67.62,72.19,75.08,6
583,2891521,1,58.34,73.2,79.79,6
584,2891521,2,76.29,82.94,87.16,6
585,2891521,3,63.91,70.29,77.12,6
586,2962900,0,64.72,82.43,85.46,18
587,2962900,1,70.85,96.69,97.56,18
588,2962900,2,58.06,82.18,96.06,18
589,2962900,3,58.48,81.65,87.02,18
590,2962932,0,13.62,21.03,29.26,7
591,2962932,1,22.3,36.18,48.13,7
592,2962932,2,21.23,34.74,50.9,7
593,2962932,3,16.83,23.17,24.86,7
594,3428683,1,84.91,84.91,94.35,2
595,3428683,2,20.61,20.61,23.26,2
596,3428683,3,56.23,56.23,59.46,2
597,3428693,0,37.03,52.11,60.51,12
598,3428693,1,39.34,62.36,69.64,12
599,3428693,2,55.36,80.22,87.91,12
600,3428693,3,34.0,48.82,58.16,12
601,3347468,0,18.34,26.78,32.29,7
602,3347468,1,35.05,50.79,59.6,7
603,3347468,2,31.81,57.26,61.13,7
604,3347468,3,14.12,22.71,23.62,7
605,3051715,0,47.67,69.6,78.04,10
606,3051715,1,53.98,73.23,78.36,10
607,3051715,2,56.27,84.1,90.46,10
608,3051715,3,43.94,63.71,71.54,10
609,3005816,0,41.59,64.58,70.6,15
610,3005816,1,42.74,78.5,87.59,15
611,3005816,2,41.68,72.73,78.4,15
612,3005816,3,48.68,58.15,60.65,15
613,3588230,0,61.49,61.49,76.97,2
614,3588230,1,80.09,80.09,91.79,2
615,3588230,2,47.63,47.63,81.38,2
616,3588230,3,55.55,55.55,60.82,2
617,3247478,0,28.46,29.72,33.4,4
618,3247478,1,45.67,50.59,75.82,4
619,3247478,2,23.51,28.14,50.68,4
620,3247478,3,34.88,43.68,51.21,4
621,3362240,0,10.89,10.89,13.08,3
622,3362240,1,20.67,20.67,26.24,3
623,3362240,2,22.06,22.06,32.94,3
624,3362240,3,13.33,13.33,13.57,3
625,3330736,0,93.51,97.08,97.47,14
626,3330736,1,79.3,96.11,98.04,14
627,3330736,2,88.89,97.06,98.0,14
628,3330736,3,93.14,99.03,99.56,14
629,3577500,0,35.83,35.83,37.34,2
630,3577500,1,34.09,34.09,47.93,2
631,3577500,2,68.16,68.16,85.69,2
632,3577500,3,32.73,32.73,47.98,2
