,MODULE_NAME,user_id,question_id,LOD,a.ae_qset_id,seq_no,time_taken,attempted,correct,MARK_OPT
285,Percentages,2900427,159216,19.0,1208001,5,19,1,1,b
286,Percentages,2900427,159224,19.1,1208001,6,47,1,1,a
287,Percentages,2900427,171291,9.3,1208001,7,196,1,1,d
295,Percentages,2703899,111563,29.5,1208006,2,167,1,1,c
296,Percentages,2703899,115882,29.1,1208006,3,32,1,1,b
297,Percentages,2703899,153969,1.0,1208006,4,96,1,1,a
298,Percentages,2703899,245570,29.4,1208006,5,71,1,1,b
299,Percentages,2703899,246073,39.5,1208006,6,20,1,1,b
300,Percentages,2703899,246079,29.3,1208006,7,126,1,0,a
301,Percentages,2703899,94133,49.3,1208006,1,66,1,1,d
337,Percentages,3361694,102082,71.7,1208013,1,75,0,0,x
338,Percentages,3361694,121660,51.5,1208013,2,64,1,1,a
339,Percentages,3361694,127092,61.6,1208013,3,191,1,0,a
340,Percentages,3361694,127149,71.6,1208013,4,126,0,0,x
341,Percentages,3361694,127366,71.6,1208013,5,143,0,0,x
356,Percentages,3361694,150198,51.4,1208013,6,101,1,1,a
357,Percentages,3361694,222729,61.5,1208013,7,461,1,1,b
358,Percentages,1797980,253331,19.1,1207999,7,157,1,1,d
359,Percentages,2703899,88304,1.0,1208011,1,129,1,1,d
360,Percentages,2703899,121657,29.3,1208011,2,97,1,1,e
361,Percentages,2703899,134352,39.2,1208011,3,86,1,1,b
362,Percentages,2703899,134365,39.5,1208011,4,296,1,1,b
363,Percentages,2703899,245500,29.4,1208011,5,177,1,1,a
364,Percentages,2703899,246077,29.3,1208011,6,80,1,1,d
365,Percentages,2703899,246121,39.5,1208011,7,106,1,0,d
377,Percentages,2645933,134376,9.1,1207999,1,54,1,1,a
378,Percentages,2645933,245432,9.2,1207999,2,102,1,1,a
379,Percentages,2645933,246075,19.1,1207999,3,12,1,1,a
380,Percentages,2645933,246120,19.3,1207999,4,285,1,1,c
381,Percentages,2645933,246190,9.3,1207999,5,50,1,1,c
382,Percentages,2645933,246213,9.2,1207999,6,13,1,1,c
383,Percentages,2645933,253331,19.1,1207999,7,100,1,1,d
384,Percentages,3376417,134362,19.1,1207997,1,26,1,1,c
385,Percentages,3376417,159214,19.1,1207997,2,105,1,1,a
386,Percentages,3376417,177826,9.3,1207997,3,89,1,1,c
387,Percentages,3376417,245584,19.3,1207997,4,186,1,1,d
388,Percentages,3376417,246080,19.3,1207997,5,65,1,1,a
389,Percentages,3376417,246196,19.1,1207997,6,71,1,1,b
390,Percentages,3376417,250004,9.3,1207997,7,52,1,1,d
391,Percentages,2489259,111562,9.1,1208001,1,50,1,1,a
392,Percentages,2489259,127220,19.3,1208001,2,46,1,1,e
393,Percentages,2489259,134355,9.2,1208001,3,21,1,1,a
394,Percentages,2489259,150939,19.2,1208001,4,14,1,1,c
395,Percentages,2489259,159216,19.0,1208001,5,26,1,1,b
396,Percentages,2489259,159224,19.1,1208001,6,75,1,1,a
397,Percentages,2489259,171291,9.3,1208001,7,119,1,1,d
420,Percentages,3323597,115883,19.1,1207995,1,24,1,1,c
422,Percentages,3323597,243596,9.2,1207995,3,34,1,1,b
423,Percentages,3323597,246076,19.3,1207995,4,44,1,0,c
424,Percentages,3323597,246707,9.1,1207995,5,76,1,1,d
425,Percentages,3323597,248140,9.4,1207995,6,56,1,1,b
426,Percentages,3323597,249303,9.3,1207995,7,124,1,1,c
437,Percentages,2722099,134376,9.1,1207999,1,19,1,1,a
438,Percentages,2722099,245432,9.2,1207999,2,81,1,1,a
439,Percentages,2722099,246075,19.1,1207999,3,40,1,1,a
440,Percentages,2722099,246120,19.3,1207999,4,145,1,1,c
441,Percentages,2722099,246190,9.3,1207999,5,48,1,1,c
442,Percentages,2722099,246213,9.2,1207999,6,76,1,0,a
443,Percentages,2722099,253331,19.1,1207999,7,115,1,1,d
479,Percentages,3376417,111588,19.1,1207998,1,51,1,1,d
480,Percentages,3376417,126251,9.3,1207998,2,69,1,1,a
481,Percentages,3376417,134372,9.2,1207998,3,106,1,1,b
482,Percentages,3376417,244718,9.1,1207998,4,35,1,1,b
483,Percentages,3376417,246069,19.1,1207998,5,56,1,1,c
484,Percentages,3376417,246778,9.3,1207998,6,106,1,1,a
485,Percentages,3376417,248317,9.2,1207998,7,15,1,1,d
504,Percentages,2722099,94133,49.3,1208006,1,205,1,1,d
505,Percentages,2722099,111563,29.5,1208006,2,33,1,1,c
507,Percentages,2722099,153969,1.0,1208006,4,39,1,1,a
508,Percentages,2722099,245570,29.4,1208006,5,29,1,0,a
509,Percentages,2722099,246073,39.5,1208006,6,20,1,0,d
510,Percentages,2722099,246079,29.3,1208006,7,120,1,1,b
555,Percentages,1797980,134376,9.1,1207999,1,82,1,1,a
558,Percentages,1797980,246120,19.3,1207999,4,117,1,1,c
559,Percentages,1797980,246190,9.3,1207999,5,55,1,1,c
560,Percentages,1797980,246213,9.2,1207999,6,44,1,1,c
661,Percentages,3469419,111588,19.1,1207998,1,22,1,1,d
662,Percentages,3469419,126251,9.3,1207998,2,79,1,1,a
663,Percentages,3469419,134372,9.2,1207998,3,181,1,1,b
664,Percentages,3469419,244718,9.1,1207998,4,153,1,1,b
665,Percentages,3469419,246069,19.1,1207998,5,69,1,1,c
666,Percentages,3469419,246778,9.3,1207998,6,100,1,1,a
667,Percentages,3469419,248317,9.2,1207998,7,269,1,1,d
697,Percentages,3429391,134357,19.2,1207991,1,124,1,1,d
698,Percentages,3429391,134360,19.2,1207991,2,34,1,1,a
699,Percentages,3429391,134361,19.1,1207991,3,48,1,1,c
700,Percentages,3429391,150940,19.2,1207991,4,107,1,1,d
701,Percentages,3429391,159225,19.1,1207991,5,55,1,1,c
702,Percentages,3429391,187873,9.3,1207991,6,76,1,1,a
703,Percentages,3429391,246074,19.2,1207991,7,144,1,1,c
739,Percentages,3035864,111588,19.1,1207998,1,16,1,1,d
740,Percentages,3035864,126251,9.3,1207998,2,95,1,1,a
741,Percentages,3035864,134372,9.2,1207998,3,52,1,1,b
742,Percentages,3035864,244718,9.1,1207998,4,30,1,1,b
743,Percentages,3035864,246069,19.1,1207998,5,70,1,1,c
744,Percentages,3035864,246778,9.3,1207998,6,127,1,1,a
759,Percentages,1952294,111562,9.1,1208001,1,47,1,1,a
760,Percentages,1952294,127220,19.3,1208001,2,109,1,1,e
761,Percentages,1952294,134355,9.2,1208001,3,15,1,1,a
766,Percentages,2002618,246161,19.1,1208002,5,156,1,1,c
767,Percentages,2002618,249304,9.3,1208002,6,112,1,1,a
768,Percentages,2002618,250746,9.2,1208002,7,232,1,0,c
776,Percentages,3035864,248317,9.2,1207998,7,30,1,1,d
792,Percentages,3496299,115881,19.1,1207994,1,123,1,1,a
793,Percentages,3496299,127327,1.0,1207994,2,77,1,1,b
794,Percentages,3496299,150218,9.1,1207994,3,33,1,1,d
795,Percentages,3496299,224757,9.1,1207994,4,100,1,1,d
796,Percentages,3496299,245146,19.2,1207994,5,99,0,0,x
798,Percentages,3496299,246210,9.1,1207994,7,48,1,1,c
806,Percentages,2950065,94129,19.1,1208004,1,103,1,1,c
807,Percentages,2950065,121659,9.4,1208004,2,339,1,1,e
808,Percentages,2950065,159223,19.1,1208004,3,64,1,1,a
809,Percentages,2950065,245561,9.2,1208004,4,64,1,1,d
810,Percentages,2950065,246123,19.3,1208004,5,78,1,1,d
811,Percentages,2950065,246124,19.1,1208004,6,56,1,1,b
812,Percentages,2950065,246718,9.2,1208004,7,42,1,1,a
820,Percentages,3001603,115881,19.1,1207994,1,37,1,1,a
821,Percentages,3001603,127327,1.0,1207994,2,63,1,1,b
822,Percentages,3001603,150218,9.1,1207994,3,46,1,1,d
823,Percentages,3001603,224757,9.1,1207994,4,90,1,1,d
824,Percentages,3001603,245146,19.2,1207994,5,39,1,1,b
825,Percentages,3001603,246122,19.2,1207994,6,24,1,1,b
826,Percentages,3001603,246210,9.1,1207994,7,34,1,1,c
830,Percentages,3035864,246120,19.3,1207999,4,79,1,1,c
831,Percentages,3035864,246190,9.3,1207999,5,243,1,1,c
832,Percentages,3035864,246213,9.2,1207999,6,70,1,0,a
833,Percentages,3035864,253331,19.1,1207999,7,130,1,1,d
841,Percentages,1209181,94131,19.2,1208000,1,72,1,1,c
842,Percentages,1209181,102067,9.3,1208000,2,103,1,1,c
843,Percentages,1209181,121656,9.2,1208000,3,200,1,1,c
858,Percentages,2862775,88305,19.3,1207992,1,52,1,1,c
859,Percentages,2862775,134351,9.1,1207992,2,46,1,1,a
860,Percentages,2862775,150196,19.1,1207992,3,33,1,1,a
861,Percentages,2862775,151536,19.1,1207992,4,44,1,1,c
862,Percentages,2862775,171290,19.4,1207992,5,397,1,1,b
863,Percentages,2862775,246127,19.3,1207992,6,217,1,1,b
864,Percentages,2862775,246162,9.2,1207992,7,35,1,1,d
865,Percentages,3485596,134349,9.3,1207989,1,73,1,1,c
866,Percentages,3485596,134366,9.3,1207989,2,47,1,1,c
867,Percentages,3323597,150197,19.1,1207990,1,19,1,1,c
868,Percentages,3323597,150220,9.1,1207990,2,44,1,1,c
869,Percentages,3323597,150917,9.1,1207990,3,26,1,1,b
870,Percentages,3323597,159215,19.1,1207990,4,209,1,1,d
871,Percentages,3323597,187876,19.1,1207990,5,48,1,1,a
872,Percentages,3323597,246114,19.3,1207990,6,96,1,1,c
873,Percentages,3323597,263000,19.3,1207990,7,36,1,1,c
874,Percentages,3430265,150197,19.1,1207990,1,95,1,1,c
875,Percentages,3430265,150220,9.1,1207990,2,62,1,1,c
876,Percentages,3430265,150917,9.1,1207990,3,23,1,1,b
877,Percentages,3430265,159215,19.1,1207990,4,13,0,0,x
878,Percentages,3430265,187876,19.1,1207990,5,57,1,1,a
879,Percentages,3430265,246114,19.3,1207990,6,113,1,1,c
880,Percentages,3430265,263000,19.3,1207990,7,257,1,0,a
888,Percentages,3485596,226897,19.2,1207989,3,89,1,1,d
889,Percentages,3485596,246071,9.1,1207989,4,15,1,1,a
890,Percentages,3485596,246128,19.2,1207989,5,285,1,1,c
891,Percentages,3485596,246166,19.1,1207989,6,36,1,1,d
892,Percentages,3485596,246788,19.1,1207989,7,40,1,1,c
893,Percentages,3035864,224757,9.1,1207994,4,91,1,1,d
894,Percentages,3035864,245146,19.2,1207994,5,62,1,1,b
895,Percentages,3035864,246122,19.2,1207994,6,30,1,1,b
896,Percentages,3035864,246210,9.1,1207994,7,68,1,1,c
904,Percentages,3035864,115881,19.1,1207994,1,81,1,1,a
905,Percentages,3035864,127327,1.0,1207994,2,95,1,1,b
906,Percentages,3035864,150218,9.1,1207994,3,57,1,1,d
907,Percentages,3410170,94127,19.1,1208003,1,76,1,1,b
908,Percentages,3410170,111587,19.0,1208003,2,40,1,1,d
909,Percentages,3410170,134375,19.2,1208003,3,71,1,1,c
910,Percentages,3410170,153983,19.4,1208003,4,442,1,1,b
911,Percentages,3410170,187875,9.3,1208003,5,34,1,1,b
912,Percentages,3410170,243594,19.1,1208003,6,58,1,1,c
913,Percentages,3410170,245141,9.1,1208003,7,28,1,1,d
930,Percentages,3023061,102083,29.4,1208009,3,115,1,1,c
931,Percentages,3023061,134353,29.3,1208009,4,45,1,1,b
939,Percentages,3023061,134356,29.5,1208009,5,100,1,1,b
940,Percentages,3023061,151541,29.4,1208009,6,100,1,1,a
941,Percentages,3023061,151547,39.4,1208009,7,118,1,1,b
942,Percentages,3498692,134349,9.3,1207989,1,62,1,1,c
943,Percentages,3498692,134366,9.3,1207989,2,54,1,1,c
944,Percentages,3498692,226897,19.2,1207989,3,97,1,1,d
945,Percentages,3498692,246071,9.1,1207989,4,66,1,1,a
946,Percentages,3498692,246128,19.2,1207989,5,437,1,1,c
947,Percentages,3498692,246166,19.1,1207989,6,131,1,0,c
948,Percentages,3498692,246788,19.1,1207989,7,49,1,1,c
956,Percentages,3137637,115881,19.1,1207994,1,70,1,1,a
957,Percentages,3137637,127327,1.0,1207994,2,71,1,1,b
958,Percentages,3137637,150218,9.1,1207994,3,48,1,1,d
959,Percentages,3137637,224757,9.1,1207994,4,157,1,0,b
960,Percentages,3137637,245146,19.2,1207994,5,149,1,1,b
962,Percentages,3137637,246210,9.1,1207994,7,63,1,1,c
977,Percentages,2284674,94129,19.1,1208004,1,195,1,0,d
978,Percentages,2284674,121659,9.4,1208004,2,447,1,1,e
979,Percentages,2284674,159223,19.1,1208004,3,79,1,1,a
980,Percentages,2284674,245561,9.2,1208004,4,163,1,1,d
981,Percentages,2284674,246123,19.3,1208004,5,48,1,1,d
982,Percentages,2284674,246124,19.1,1208004,6,38,1,1,b
983,Percentages,2284674,246718,9.2,1208004,7,25,1,1,a
984,Percentages,2844596,94137,19.1,1208002,1,47,1,1,b
985,Percentages,2844596,111561,9.1,1208002,2,59,1,1,c
986,Percentages,2844596,121655,19.3,1208002,3,129,1,1,d
987,Percentages,2844596,151553,19.3,1208002,4,81,1,1,d
988,Percentages,2844596,246161,19.1,1208002,5,23,1,1,c
989,Percentages,2844596,249304,9.3,1208002,6,104,1,1,a
990,Percentages,2844596,250746,9.2,1208002,7,56,1,1,d
991,Percentages,3485596,94131,19.2,1208000,1,48,1,1,c
992,Percentages,3485596,102067,9.3,1208000,2,348,1,1,c
993,Percentages,3485596,121656,9.2,1208000,3,51,1,1,c
994,Percentages,3485596,121661,19.3,1208000,4,310,1,1,e
995,Percentages,3485596,127363,9.3,1208000,5,129,1,1,d
996,Percentages,3485596,134358,9.4,1208000,6,82,1,1,d
997,Percentages,3485596,150938,19.1,1208000,7,53,1,1,c
1005,Percentages,2438207,94127,19.1,1208003,1,133,1,1,b
1006,Percentages,2438207,111587,19.0,1208003,2,52,1,1,d
1007,Percentages,2438207,134375,19.2,1208003,3,155,1,1,c
1008,Percentages,2438207,153983,19.4,1208003,4,83,1,1,b
1009,Percentages,2438207,187875,9.3,1208003,5,38,1,1,b
1010,Percentages,2438207,243594,19.1,1208003,6,42,1,1,c
1011,Percentages,2438207,245141,9.1,1208003,7,29,1,1,d
1050,Percentages,2645933,134349,9.3,1207989,1,103,1,1,c
1051,Percentages,2645933,134366,9.3,1207989,2,59,1,1,c
1053,Percentages,3016432,94125,29.1,1208007,1,36,1,1,c
1054,Percentages,3016432,94132,39.1,1208007,2,50,1,1,a
1055,Percentages,3016432,102070,39.4,1208007,3,127,1,1,b
1056,Percentages,3016432,102096,29.3,1208007,4,23,1,0,e
1057,Percentages,3016432,127247,49.5,1208007,5,196,1,1,a
1058,Percentages,3016432,134044,39.4,1208007,6,72,1,1,a
1059,Percentages,3016432,246160,29.4,1208007,7,141,1,1,a
1088,Percentages,2645933,226897,19.2,1207989,3,29,1,1,d
1089,Percentages,2645933,246071,9.1,1207989,4,19,1,1,a
1090,Percentages,2645933,246128,19.2,1207989,5,199,1,1,c
1091,Percentages,2645933,246166,19.1,1207989,6,35,1,1,d
1092,Percentages,2645933,246788,19.1,1207989,7,36,1,1,c
1116,Percentages,3485596,94129,19.1,1208004,1,82,1,1,c
1117,Percentages,3485596,121659,9.4,1208004,2,75,1,1,e
1118,Percentages,3485596,159223,19.1,1208004,3,76,1,1,a
1119,Percentages,3485596,245561,9.2,1208004,4,69,1,1,d
1120,Percentages,3485596,246123,19.3,1208004,5,92,1,1,d
1121,Percentages,3485596,246124,19.1,1208004,6,27,1,1,b
1122,Percentages,3485596,246718,9.2,1208004,7,36,1,1,a
1123,Percentages,2844596,111562,9.1,1208001,1,42,1,1,a
1124,Percentages,2844596,127220,19.3,1208001,2,36,1,1,e
1125,Percentages,2844596,134355,9.2,1208001,3,36,1,1,a
1126,Percentages,2844596,150939,19.2,1208001,4,34,1,1,c
1127,Percentages,2844596,159216,19.0,1208001,5,34,1,1,b
1128,Percentages,2844596,159224,19.1,1208001,6,129,1,1,a
1129,Percentages,2844596,171291,9.3,1208001,7,181,1,1,d
1144,Percentages,3376417,94124,19.2,1207993,1,93,1,1,a
1145,Percentages,3376417,94130,19.1,1207993,2,38,1,1,a
1146,Percentages,3376417,121663,9.1,1207993,3,33,1,1,c
1147,Percentages,3376417,127316,19.3,1207993,4,75,1,1,b
1148,Percentages,3376417,134368,19.2,1207993,5,121,1,1,d
1149,Percentages,3376417,159217,19.0,1207993,6,43,1,1,a
1164,Percentages,3376417,94126,29.2,1208010,1,155,1,1,c
1165,Percentages,3376417,127305,49.5,1208010,2,354,1,1,a
1166,Percentages,3376417,127349,49.5,1208010,3,226,0,0,x
1167,Percentages,3376417,134367,29.4,1208010,4,15,1,1,a
1168,Percentages,3376417,159218,39.3,1208010,5,89,1,1,c
1169,Percentages,3376417,159226,29.1,1208010,6,110,1,1,d
1170,Percentages,3376417,163586,29.4,1208010,7,251,1,1,a
1202,Percentages,1952294,150939,19.2,1208001,4,16,1,1,c
1203,Percentages,1952294,159216,19.0,1208001,5,20,1,1,b
1204,Percentages,1952294,159224,19.1,1208001,6,57,1,1,a
1205,Percentages,1952294,171291,9.3,1208001,7,85,1,1,d
1243,Percentages,2762792,94127,19.1,1208003,1,113,1,1,b
1244,Percentages,2762792,111587,19.0,1208003,2,54,1,1,d
1245,Percentages,2762792,134375,19.2,1208003,3,69,1,1,c
1246,Percentages,2762792,153983,19.4,1208003,4,220,1,1,b
1247,Percentages,2762792,187875,9.3,1208003,5,27,1,1,b
1248,Percentages,2762792,243594,19.1,1208003,6,25,1,1,c
1249,Percentages,2762792,245141,9.1,1208003,7,56,1,1,d
1281,Percentages,3451355,88304,1.0,1208011,1,117,1,1,d
1282,Percentages,3451355,121657,29.3,1208011,2,122,1,1,e
1283,Percentages,3451355,134352,39.2,1208011,3,84,1,1,b
1284,Percentages,3451355,134365,39.5,1208011,4,122,1,1,b
1285,Percentages,3451355,245500,29.4,1208011,5,103,1,1,a
1286,Percentages,3451355,246077,29.3,1208011,6,81,1,1,d
1287,Percentages,3451355,246121,39.5,1208011,7,107,1,1,c
1288,Percentages,3376417,150197,19.1,1207990,1,37,1,1,c
1289,Percentages,3376417,150220,9.1,1207990,2,54,1,1,c
1290,Percentages,3376417,150917,9.1,1207990,3,26,1,1,b
1291,Percentages,3376417,159215,19.1,1207990,4,59,1,1,d
1292,Percentages,3376417,187876,19.1,1207990,5,62,1,1,a
1293,Percentages,3376417,246114,19.3,1207990,6,70,1,1,c
1294,Percentages,3376417,263000,19.3,1207990,7,196,1,0,a
1339,Percentages,1952294,94129,19.1,1208004,1,86,1,1,c
1340,Percentages,1952294,121659,9.4,1208004,2,25,1,1,e
1341,Percentages,1952294,159223,19.1,1208004,3,23,1,1,a
1342,Percentages,3234824,94126,29.2,1208010,1,83,1,1,c
1343,Percentages,3234824,127305,49.5,1208010,2,136,1,1,a
1344,Percentages,3234824,127349,49.5,1208010,3,131,1,1,e
1345,Percentages,3234824,134367,29.4,1208010,4,420,1,1,a
1346,Percentages,3234824,159218,39.3,1208010,5,145,1,1,c
1347,Percentages,3234824,159226,29.1,1208010,6,36,1,1,d
1348,Percentages,3234824,163586,29.4,1208010,7,116,1,1,a
1349,Percentages,1952294,245561,9.2,1208004,4,54,1,1,d
1350,Percentages,1952294,246123,19.3,1208004,5,75,1,1,d
1351,Percentages,1952294,246124,19.1,1208004,6,169,1,1,b
1352,Percentages,1952294,246718,9.2,1208004,7,25,1,1,a
1388,Percentages,2911128,150197,19.1,1207990,1,46,1,1,c
1389,Percentages,2911128,150220,9.1,1207990,2,63,1,1,c
1390,Percentages,2911128,150917,9.1,1207990,3,29,1,1,b
1391,Percentages,2911128,159215,19.1,1207990,4,60,1,1,d
1392,Percentages,2911128,187876,19.1,1207990,5,94,1,1,a
1393,Percentages,2911128,246114,19.3,1207990,6,60,1,1,c
1394,Percentages,2911128,263000,19.3,1207990,7,62,1,1,c
1416,Percentages,3499986,111588,19.1,1207998,1,40,1,1,d
1417,Percentages,3499986,126251,9.3,1207998,2,122,1,1,a
1418,Percentages,3499986,134372,9.2,1207998,3,200,0,0,x
1419,Percentages,3499986,244718,9.1,1207998,4,27,1,1,b
1420,Percentages,3499986,246069,19.1,1207998,5,141,1,0,d
1421,Percentages,3499986,246778,9.3,1207998,6,254,1,1,a
1422,Percentages,3499986,248317,9.2,1207998,7,55,1,1,d
1451,Percentages,3137637,134376,9.1,1207999,1,130,1,1,a
1454,Percentages,3137637,246120,19.3,1207999,4,150,1,1,c
1455,Percentages,3137637,246190,9.3,1207999,5,107,1,1,c
1456,Percentages,3137637,246213,9.2,1207999,6,323,1,1,c
1457,Percentages,3137637,253331,19.1,1207999,7,103,1,1,d
1472,Percentages,3497771,111588,19.1,1207998,1,20,1,1,d
1473,Percentages,3497771,126251,9.3,1207998,2,94,1,1,a
1474,Percentages,3497771,134372,9.2,1207998,3,27,1,1,b
1475,Percentages,3497771,244718,9.1,1207998,4,66,1,1,b
1476,Percentages,3497771,246069,19.1,1207998,5,81,1,1,c
1477,Percentages,3497771,246778,9.3,1207998,6,92,1,1,a
1478,Percentages,3497771,248317,9.2,1207998,7,85,1,1,d
1563,Percentages,3337390,134376,9.1,1207999,1,95,1,1,a
1564,Percentages,3337390,245432,9.2,1207999,2,82,1,1,a
1565,Percentages,3337390,246075,19.1,1207999,3,85,1,1,a
1566,Percentages,3337390,246120,19.3,1207999,4,344,1,1,c
1567,Percentages,3337390,246190,9.3,1207999,5,47,1,1,c
1568,Percentages,3337390,246213,9.2,1207999,6,69,1,1,c
1569,Percentages,3337390,253331,19.1,1207999,7,143,1,1,d
1577,Percentages,3100616,134376,9.1,1207999,1,14,1,1,a
1578,Percentages,3100616,245432,9.2,1207999,2,113,1,0,c
1579,Percentages,3100616,246075,19.1,1207999,3,39,1,1,a
1580,Percentages,3100616,246120,19.3,1207999,4,127,1,1,c
1581,Percentages,3100616,246190,9.3,1207999,5,121,1,1,c
1582,Percentages,3100616,246213,9.2,1207999,6,141,1,1,c
1583,Percentages,3100616,253331,19.1,1207999,7,127,1,1,d
1690,Percentages,3408573,115883,19.1,1207995,1,61,1,1,c
1692,Percentages,3408573,243596,9.2,1207995,3,28,1,1,b
1693,Percentages,3408573,246076,19.3,1207995,4,65,1,0,c
1694,Percentages,3408573,246707,9.1,1207995,5,44,1,1,d
1695,Percentages,3408573,248140,9.4,1207995,6,72,1,1,b
1696,Percentages,3408573,249303,9.3,1207995,7,58,1,1,c
1704,Percentages,3429391,88305,19.3,1207992,1,136,1,1,c
1705,Percentages,3429391,134351,9.1,1207992,2,161,1,1,a
1706,Percentages,3429391,150196,19.1,1207992,3,75,1,1,a
1707,Percentages,3429391,151536,19.1,1207992,4,122,1,1,c
1708,Percentages,3429391,171290,19.4,1207992,5,213,1,1,b
1709,Percentages,3429391,246127,19.3,1207992,6,342,1,0,a
